711-004-6-1_g,711-004-6-3_c,010-243-2-1_2_3_III,
61G-1,1,0,0
61G-10,1,0,0
61G-2,1,0,0
61G-3,1,0,0
61G-4,1,0,0
61G-5,1,0,0
61G-6,1,0,0
61G-7,1,0,0
61G-8,1,0,0
61G-9,1,0,0
61G_MF_10,1,0,0
61G_MF_13,1,0,0
61G_MF_5,1,0,0
61G_MF_8,1,0,0
63C-1,0,1,0
63C-10,0,1,0
63C-2,0,1,0
63C-3,0,1,0
63C-4,0,1,0
63C-5,0,1,0
63C-6,0,1,0
63C-7,0,1,0
63C-8,0,1,0
63C-9,0,1,0
63C_MF_10,0,1,0
63C_MF_11,0,1,0
63C_MF_12,0,1,0
63C_MF_16,0,1,0
63C_MF_18,0,1,0
63C_MF_9,0,1,0
III_MF_10,0,0,1
III_MF_5,0,0,1
III_MF_7,0,0,1
III_MF_8,0,0,1
III_MF_9,0,0,1
iii-2,0,0,1
iii-3,0,0,1
iii-6,0,0,1
iii-7,0,0,1